id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/rhox_fc_norsca				
615371757	rhox_graeling_mission_wh_dlc08_nor_wintertooth	VAR_MISSION_LENGTH_INFINITE		default
615371758	rhox_graeling_mission_wh_dlc08_nor_wintertooth	VAR_OBJECTIVE_AMOUNT_INT	15	default
615371759	rhox_graeling_mission_wh_dlc08_nor_wintertooth	VAR_CHANCE	100	default
615371760	rhox_graeling_mission_wh_dlc08_nor_wintertooth	VAR_OBJECTIVE_UNIT	wh_dlc08_nor_mon_norscan_ice_trolls_0;wh_main_nor_mon_chaos_trolls	default
615371761	rhox_graeling_mission_wh_dlc08_nor_vanaheimlings	VAR_MISSION_LENGTH_INFINITE		default
615371762	rhox_graeling_mission_wh_dlc08_nor_vanaheimlings	VAR_OBJECTIVE_AMOUNT_INT	15	default
615371763	rhox_graeling_mission_wh_dlc08_nor_vanaheimlings	VAR_CHANCE	100	default
615371764	rhox_graeling_mission_wh_dlc08_nor_vanaheimlings	VAR_OBJECTIVE_UNIT	wh_dlc08_nor_mon_warwolves_0	default
615371765	rhox_graeling_mission_wh_main_nor_varg	VAR_MISSION_LENGTH_INFINITE		default
615371766	rhox_graeling_mission_wh_main_nor_varg	VAR_OBJECTIVE_AMOUNT_INT	15	default
615371767	rhox_graeling_mission_wh_main_nor_varg	VAR_CHANCE	100	default
615371768	rhox_graeling_mission_wh_main_nor_varg	VAR_OBJECTIVE_UNIT	wh_dlc08_nor_cav_marauder_warwolves_chariot_0;wh_main_nor_cav_chaos_chariot	default
615371769	rhox_graeling_mission_cr_nor_tokmars	VAR_MISSION_LENGTH_INFINITE		default
615371770	rhox_graeling_mission_cr_nor_tokmars	VAR_OBJECTIVE_AMOUNT_INT	15	default
615371771	rhox_graeling_mission_cr_nor_tokmars	VAR_CHANCE	100	default
615371772	rhox_graeling_mission_cr_nor_tokmars	VAR_OBJECTIVE_UNIT	wh_dlc08_nor_feral_manticore	default
615371773	rhox_graeling_mission_wh_main_nor_skaeling	GEN_CND_ALLOW_REBELS		default
615371774	rhox_graeling_mission_wh_main_nor_skaeling	VAR_MISSION_LENGTH_INFINITE		default
615371775	rhox_graeling_mission_wh_main_nor_skaeling	GEN_TARGET_REGION		default
615371776	rhox_graeling_mission_wh_main_nor_skaeling	VAR_CHANCE	100	default
615371777	rhox_graeling_mission_wh_main_nor_skaeling	GEN_CND_REGION	wh3_main_combi_region_couronne	default
615371778	rhox_graeling_mission_wh_dlc08_nor_naglfarlings	VAR_MISSION_LENGTH_INFINITE		default
615371779	rhox_graeling_mission_wh_dlc08_nor_naglfarlings	VAR_OBJECTIVE_AMOUNT_INT	15	default
615371780	rhox_graeling_mission_wh_dlc08_nor_naglfarlings	VAR_CHANCE	100	default
615371781	rhox_graeling_mission_wh_dlc08_nor_naglfarlings	VAR_OBJECTIVE_UNIT	wh_dlc08_nor_mon_skinwolves_0;wh_dlc08_nor_mon_skinwolves_1;wh_pro04_nor_mon_skinwolves_ror_0	default
615371782	rhox_fc_norsca_asta	GEN_CND_ALLOW_REBELS		default
615371783	rhox_fc_norsca_asta	VAR_MISSION_LENGTH_INFINITE		default
615371784	rhox_fc_norsca_asta	GEN_TARGET_REGION		default
615371785	rhox_fc_norsca_asta	VAR_CHANCE	100	default
615371786	rhox_fc_norsca_asta	GEN_CND_REGION	wh3_main_combi_region_bordeleaux	default
